Date,Close,Volume,Open,High,Low,MA7,MA30,Return,Volatility30,lag_1,lag_2,lag_3,lag_7,lag_14,day_of_week,month,year
2012-10-30,85.68,192354.0,85.68,85.68,85.68,85.68,85.68,,,,,,,,1,10,2012
2012-10-31,86.24,192354.0,85.73,87.19,85.61,85.96000000000001,85.96000000000001,0.006535947712418055,,85.68,,,,,2,10,2012
2012-11-01,87.09,185097.0,86.1,87.42,85.92,86.33666666666666,86.33666666666666,0.00985621521335811,,86.24,85.68,,,,3,11,2012
2012-11-02,84.86,273619.0,86.91,87.24,84.66,85.9675,85.9675,-0.025605695257779337,,87.09,86.24,85.68,,,4,11,2012
2012-11-05,85.65,185846.0,84.65,85.9,84.34,85.904,85.904,0.009309450860240487,,84.86,87.09,86.24,,,0,11,2012
2012-11-06,88.71,270163.0,85.67,89.22,85.42,86.37166666666667,86.37166666666667,0.03572679509632204,,85.65,84.86,87.09,,,1,11,2012
2012-11-07,84.44,382231.0,88.42,88.8,84.05,86.09571428571428,86.09571428571428,-0.048134370420471195,,88.71,85.65,84.86,,,2,11,2012
2012-11-08,85.09,265354.0,84.52,85.7,84.22,86.01142857142858,85.97,0.007697773567029831,,84.44,88.71,85.65,85.68,,3,11,2012
2012-11-09,86.07,277623.0,85.0,86.77,84.13,85.98714285714287,85.98111111111112,0.011517217064284768,,85.09,84.44,88.71,86.24,,4,11,2012
2012-11-12,85.57,234500.0,86.19,86.54,85.27,85.77,85.94,-0.005809225049378419,,86.07,85.09,84.44,87.09,,0,11,2012
2012-11-13,85.38,304088.0,85.59,85.95,84.57,85.8442857142857,85.88909090909091,-0.0022204043473179613,,85.57,86.07,85.09,84.86,,1,11,2012
2012-11-14,86.32,245668.0,85.37,86.65,84.93,85.94000000000001,85.925,0.011009604122745431,,85.38,85.57,86.07,85.65,,2,11,2012
2012-11-15,85.45,113297.0,86.36,86.83,84.68,85.4742857142857,85.88846153846154,-0.010078776645041643,,86.32,85.38,85.57,88.71,,3,11,2012
2012-11-16,86.67,32015.0,85.28,87.01,85.02,85.79285714285716,85.94428571428571,0.014277355178466955,,85.45,86.32,85.38,84.44,,4,11,2012
